block,braking_condition,crossing_time,ehmi_time,has_ehmi,is_braking,orig_speed,speed,start_time,subj_safety,subject,time_gap,trial
B,3,6.4044344262295,0.5744344262295726,False,True,25,11.17568171658471,937.5825655737705,4,10,4,44
B,3,0.40918713450287214,2.5431871345028867,False,True,35,15.645954403218596,963.2238128654972,3,10,5,45
B,0,,,False,False,35,15.645954403218596,984.079812865497,0,10,2,46
B,3,0.2373918918920026,2.1293918918919417,False,True,30,13.410818059901654,994.6686081081081,3,10,5,47
C,3,5.638391891891885,-0.840608108108114,False,True,30,13.410818059901654,68.79860810810811,3,10,2,0
C,1,0.15643442622950943,,False,False,25,11.17568171658471,96.52256557377049,2,10,4,1
C,2,4.985434426229503,,False,True,25,11.17568171658471,117.8295655737705,4,10,2,2
C,0,,,False,False,30,13.410818059901654,144.2036081081081,0,10,3,3
C,3,0.277187134502924,1.5421871345029103,False,True,35,15.645954403218596,154.50381286549708,2,10,4,4
C,3,0.1784344262295008,1.5534344262295292,False,True,25,11.17568171658471,177.26256557377047,4,10,5,5
C,3,6.041187134502934,0.5631871345029253,False,True,35,15.645954403218596,197.67881286549706,4,10,3,6
C,2,6.415434426229496,,False,True,25,11.17568171658471,226.5755655737705,4,10,3,7
C,1,,,False,False,25,11.17568171658471,253.77856557377046,0,10,2,8
C,3,0.15643442622956627,0.5744344262295726,False,True,25,11.17568171658471,265.82356557377045,3,10,4,9
C,0,0.3143918918918871,,False,False,30,13.410818059901654,286.8186081081081,2,10,4,10
C,3,0.11639189189190802,1.1393918918919326,False,True,30,13.410818059901654,306.0136081081081,3,10,4,11
C,2,0.35418713450292216,,False,True,35,15.645954403218596,325.3888128654971,3,10,5,12
C,0,0.26643442622952307,,False,False,25,11.17568171658471,347.7515655737705,4,10,5,13
C,3,6.166391891891919,0.13839189189189938,False,True,30,13.410818059901654,368.7026081081081,3,10,3,14
C,1,,,False,False,35,15.645954403218596,394.1278128654971,0,10,3,15
C,3,0.1823918918918821,2.129391891891885,False,True,30,13.410818059901654,405.5416081081081,3,10,5,16
C,3,6.052434426229468,-0.43756557377048466,False,True,25,11.17568171658471,426.7095655737705,4,10,3,17
