unique_ID,trial,trial_id,cross_time,cross_time_downsamp,cross_time_downsamp_error
20_16,16,4,0.6032451999999999,0.6,0.003245199999999948
2_6,6,4,0.9822345,0.9666666666666667,0.015567833333333336
3_7,7,4,0.6930341999999999,0.7,-0.006965800000000022
4_12,12,4,5.752351999999999,5.766666666666667,-0.014314666666667364
5_11,11,4,5.821455,5.833333333333333,-0.011878333333332769
6_6,6,4,6.767727000000002,6.766666666666667,0.0010603333333349951
7_3,3,4,5.060683,5.066666666666666,-0.005983666666666387
8_2,2,4,6.209785,6.2,0.009784999999999933
9_11,11,4,1.596975,1.6,-0.0030250000000000554
10_1,1,5,3.474442,3.466666666666667,0.007775333333333023
11_12,12,5,2.974394,2.966666666666667,0.007727333333333419
12_12,12,5,3.23853,3.2333333333333334,0.005196666666666516
13_3,3,5,4.8456980000000005,4.833333333333333,0.012364666666667468
14_13,13,5,0.9156162,0.9,0.015616199999999969
15_10,10,5,3.204534,3.2,0.004534000000000038
16_6,6,5,2.769936,2.7666666666666666,0.0032693333333333463
17_16,16,5,6.391769,6.4,-0.008231000000000321
18_5,5,5,2.97155,2.966666666666667,0.004883333333333351
19_7,7,5,3.195903,3.2,-0.004097000000000239
1_15,15,5,3.597096,3.6,-0.0029040000000000177
20_13,13,5,2.992592,3.0,-0.007407999999999859
2_1,1,5,3.326764,3.3333333333333335,-0.006569333333333649
3_13,13,5,2.546146,2.533333333333333,0.012812666666666583
4_5,5,5,3.37238,3.3666666666666667,0.005713333333333459
5_5,5,5,3.274131,3.2666666666666666,0.007464333333333517
6_3,3,5,5.169929,5.166666666666667,0.003262333333332812
7_11,11,5,2.837144,2.8333333333333335,0.003810666666666407
8_7,7,5,2.826617,2.8333333333333335,-0.006716333333333324
9_6,6,5,3.450967,3.466666666666667,-0.01569966666666689
10_15,15,6,3.540006,3.533333333333333,0.006672666666666771
11_14,14,6,3.083305,3.0666666666666664,0.016638333333333755
12_2,2,6,3.250262,3.2666666666666666,-0.0164046666666664
13_5,5,6,5.302891000000002,5.3,0.0028910000000017533
14_3,3,6,0.9597683,0.9666666666666667,-0.006898366666666655
15_7,7,6,3.675351,3.6666666666666665,0.008684333333333516
16_16,16,6,2.98131,2.966666666666667,0.014643333333333342
17_2,2,6,3.2836300000000005,3.3,-0.01636999999999933
18_10,10,6,3.519474,3.533333333333333,-0.013859333333333002
19_6,6,6,3.318582,3.3333333333333335,-0.014751333333333339
1_10,10,6,4.109036,4.1,0.009036000000000044
20_12,12,6,3.218628,3.2333333333333334,-0.01470533333333357
2_10,10,6,3.238386,3.2333333333333334,0.005052666666666816
3_11,11,6,3.678699,3.6666666666666665,0.012032333333333423
4_3,3,6,4.691932,4.7,-0.008067999999999742
5_12,12,6,3.057044,3.0666666666666664,-0.009622666666666557
6_10,10,6,3.093491,3.1,-0.006508999999999876
7_12,12,6,3.2824089999999995,3.2666666666666666,0.01574233333333286
8_3,3,6,3.406762,3.4,0.006762000000000157
9_1,1,6,3.395189,3.4,-0.004811000000000121
10_4,4,7,1.2264959999999998,1.2333333333333334,-0.006837333333333584
11_1,1,7,0.7594485,0.7666666666666666,-0.007218166666666637
12_9,9,7,0.8932924000000001,0.9,-0.006707599999999925
13_10,10,7,8.153646,8.166666666666666,-0.013020666666665903
14_16,16,7,2.256318,2.2666666666666666,-0.010348666666666784
15_14,14,7,1.2943,1.3,-0.005700000000000038
16_9,9,7,1.429846,1.4333333333333333,-0.003487333333333398
17_7,7,7,0.662626,0.6666666666666666,-0.004040666666666581
18_14,14,7,0.3519147,0.36666666666666664,-0.014751966666666616
19_8,8,7,0.8384497,0.8333333333333334,0.005116366666666594
1_8,8,7,1.396543,1.4,-0.0034569999999998213
20_8,8,7,0.5554401999999999,0.5666666666666667,-0.011226466666666712
2_7,7,7,0.6194059000000001,0.6333333333333333,-0.013927433333333239
3_15,15,7,0.7137058000000001,0.7,0.013705800000000101
4_9,9,7,0.6684129,0.6666666666666666,0.0017462333333333468
5_3,3,7,1.474518,1.4666666666666666,0.007851333333333432
6_9,9,7,0.892166,0.9,-0.007834000000000008
7_2,2,7,1.45059,1.4666666666666666,-0.016076666666666517
8_8,8,7,1.082741,1.0666666666666667,0.0160743333333333
9_7,7,7,1.4852379999999998,1.5,-0.014762000000000164
10_10,10,8,1.37232,1.3666666666666667,0.005653333333333288
11_10,10,8,1.139848,1.1333333333333333,0.006514666666666669
12_6,6,8,0.9462178,0.9333333333333333,0.01288446666666665
13_12,12,8,8.420598,8.433333333333334,-0.012735333333333543
14_9,9,8,8.420598,8.433333333333334,-0.012735333333333543
15_2,2,8,0.8489582,0.8333333333333334,0.015624866666666626
16_3,3,8,1.333684,1.3333333333333333,0.00035066666666683233
17_6,6,8,0.6375653,0.6333333333333333,0.004231966666666698
18_11,11,8,0.2989791,0.3,-0.0010208999999999913
19_16,16,8,8.051822,8.066666666666666,-0.01484466666666684
1_2,2,8,10.1649,10.166666666666666,-0.0017666666666666941
20_9,9,8,0.8488206,0.8333333333333334,0.015487266666666666
2_5,5,8,0.8555252,0.8666666666666667,-0.01114146666666671
3_9,9,8,0.4391662,0.43333333333333335,0.005832866666666658
4_4,4,8,8.679098,8.666666666666666,0.012431333333333683
5_13,13,8,0.5453359999999999,0.5333333333333333,0.012002666666666606
6_12,12,8,0.7806625,0.7666666666666666,0.01399583333333343
